Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",105.850000,-92.850000,180.000000,top
"C2","22uF","C_0805_2012Metric",106.650000,-91.300000,180.000000,top
"C3","0.1uF","C_0402_1005Metric",119.480000,-92.900000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",119.600000,-91.300000,180.000000,top
"D1","LED","LED_0603_1608Metric",105.200000,-105.387501,90.000000,top
"J1","Conn_01x09_Socket","JST_ZH_S9B-ZR-SM4A-TF_1x09-1MP_P1.50mm_Horizontal",116.250000,-102.800000,0.000000,top
"J2","Conn_01x05_Socket","PinHeader_1x05_P2.54mm_Vertical",106.490000,-97.150000,90.000000,top
"R1","10K","R_0402_1005Metric",108.900000,-91.450000,-90.000000,top
"R2","1K","R_0402_1005Metric",105.200000,-102.250000,-90.000000,top
"U1","TLV76733DRVx","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",116.400000,-92.000000,-90.000000,top
"U2","ESP32-WROOM-E","ESP32-WROOM-32E",114.750000,-78.250000,0.000000,top
"U3","TXU0104RUTR","Texas_R-PUQFN-N12",121.800000,-92.050000,90.000000,top
