Comment,Designator,Footprint,LCSC
"0.1uF","C1","Capacitor_SMD:C_0402_1005Metric","C110251"
"22uF","C2","Capacitor_SMD:C_0805_2012Metric","C5674"
"10uF","C3,C4","Capacitor_SMD:C_0805_2012Metric","C5674"
"2.2uF","C5,C6","Capacitor_SMD:C_0402_1005Metric","C12530"
"15pF","C7,C8","Capacitor_SMD:C_0402_1005Metric","C106997"
"LED","D1","LED_SMD:LED_0603_1608Metric","C434421"
"Conn_01x09_Socket","J1","Connector_JST:JST_ZH_S9B-ZR-SM4A-TF_1x09-1MP_P1.50mm_Horizontal",""
"Conn_01x06_Pin","J2","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"10K","R1","Resistor_SMD:R_0402_1005Metric","C60490"
"1K","R2","Resistor_SMD:R_0402_1005Metric","C106235"
"10K","RN1","Resistor_SMD:R_Array_Convex_4x0603","C29718"
"TLV76733DRVx","U1","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias","C2848334"
"ESP32-WROOM-E","U2","PCM_Espressif:ESP32-WROOM-32E","C701341"
"PCM1860","U3","Package_SO:TSSOP-30_4.4x7.8mm_P0.5mm","C1520799"
"2N7002DW","U4","Package_TO_SOT_SMD:SOT-363_SC-70-6","C83571"
"Crystal_GND24","Y2","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C19631429"
