Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",108.400000,-95.400000,180.000000,top
"C2","22uF","C_0805_2012Metric",108.400000,-93.100000,-90.000000,top
"C3","10uF","C_0805_2012Metric",111.099998,-97.100000,90.000000,top
"C4","10uF","C_0805_2012Metric",113.200000,-97.100000,90.000000,top
"C5","2.2uF","C_0402_1005Metric",117.000000,-98.200000,180.000000,top
"C6","2.2uF","C_0402_1005Metric",116.980000,-93.000000,0.000000,top
"C7","15pF","C_0402_1005Metric",115.120000,-93.000000,180.000000,top
"C8","15pF","C_0402_1005Metric",115.131250,-98.200000,0.000000,top
"D1","LED","LED_0603_1608Metric",126.000000,-71.687501,-90.000000,top
"J1","Conn_01x09_Socket","JST_ZH_S9B-ZR-SM4A-TF_1x09-1MP_P1.50mm_Horizontal",116.950000,-102.950000,0.000000,top
"J2","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",105.200000,-105.800000,180.000000,top
"R1","10K","R_0402_1005Metric",104.800000,-72.000000,90.000000,top
"R2","1K","R_0402_1005Metric",125.900000,-74.600000,90.000000,top
"RN1","10K","R_Array_Convex_4x0603",111.900000,-91.500000,180.000000,top
"U1","TLV76733DRVx","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",108.850000,-97.300000,-90.000000,top
"U2","ESP32-WROOM-E","ESP32-WROOM-32E",115.150000,-77.650000,0.000000,top
"U3","PCM1860","TSSOP-30_4.4x7.8mm_P0.5mm",122.000000,-95.000000,0.000000,top
"U4","2N7002DW","SOT-363_SC-70-6",116.050000,-91.100000,0.000000,top
"Y2","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",115.950000,-95.600000,90.000000,top
